Title,Genre,Description,Year,Rating,Votes,Metascore
Personal Shopper,"Drama,Mystery,Thriller",A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.,2016,6.3,10181,77.0
The Departed,"Crime,Drama,Thriller",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,2006,8.5,937414,85.0
Legend,"Biography,Crime,Drama",Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,2015,7.0,108836,55.0
Thor,"Action,Adventure,Fantasy","The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",2011,7.0,570814,57.0
The Martian,"Adventure,Drama,Sci-Fi","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",2015,8.0,556097,80.0
The Man from U.N.C.L.E.,"Action,Adventure,Comedy","In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.",2015,7.3,202973,56.0
Hell or High Water,"Crime,Drama,Thriller",A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,2016,7.7,115546,88.0
The Comedian,Comedy,A look at the life of an aging insult comic named Jack Burke.,2016,5.4,1954,40.0
The Legend of Tarzan,"Action,Adventure,Drama","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",2016,6.3,117590,44.0
Ex Machina,"Drama,Mystery,Sci-Fi",A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.,2014,7.7,339797,78.0
The Belko Experiment,"Action,Horror,Thriller","In a twisted social experiment, 80 Americans are locked in their high-rise corporate office in Bogotá, Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.",2016,6.3,3712,44.0
12 Years a Slave,"Biography,Drama,History","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",2013,8.1,486338,96.0
300,"Action,Fantasy,War",King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,2006,7.7,637104,52.0
Harry Potter and the Deathly Hallows: Part 2,"Adventure,Drama,Fantasy","Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",2011,8.1,590595,87.0
Office Christmas Party,Comedy,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",2016,5.8,30761,42.0
The Neon Demon,"Horror,Thriller","When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.",2016,6.2,50359,51.0
10 Cloverfield Lane,"Drama,Horror,Mystery","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",2016,7.2,192968,76.0
Finding Dory,"Animation,Adventure,Comedy","The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",2016,7.4,157026,77.0
Miss Peregrine's Home for Peculiar Children,"Adventure,Drama,Family","When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",2016,6.7,101058,57.0
Divergent,"Adventure,Mystery,Sci-Fi","In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",2014,6.7,362093,48.0
Mike and Dave Need Wedding Dates,"Adventure,Comedy,Romance","Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",2016,6.0,53183,51.0
The Dark Knight Rises,"Action,Thriller","Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.",2012,8.5,1222645,78.0
The Jungle Book,"Adventure,Drama,Family","After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.",2016,7.5,198243,77.0
Transformers: Age of Extinction,"Action,Adventure,Sci-Fi","Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly, Optimus Prime and his remaining gang turn to a mechanic, his daughter, and her back street racing boyfriend for help.",2014,5.7,255483,32.0
Nerve,"Adventure,Crime,Mystery","A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",2016,6.6,69651,58.0
Mamma Mia!,"Comedy,Family,Musical",The story of a bride-to-be trying to find her real father told using hit songs by the popular '70s group ABBA.,2008,6.4,153481,51.0
The Revenant,"Adventure,Drama,Thriller",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,2015,8.0,499424,76.0
Fences,Drama,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",2016,7.3,50953,79.0
Into the Woods,"Adventure,Comedy,Drama",A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.,2014,6.0,109756,69.0
The Shallows,"Drama,Horror,Thriller","A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",2016,6.4,78328,59.0
Whiplash,"Drama,Music",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,2014,8.5,477276,88.0
Furious 6,"Action,Crime,Thriller","Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty.",2013,7.1,318051,61.0
The Place Beyond the Pines,"Crime,Drama,Thriller","A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective.",2012,7.3,200090,68.0
No Country for Old Men,"Crime,Drama,Thriller",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,2007,8.1,660286,91.0
The Great Gatsby,"Drama,Romance","A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby.",2013,7.3,386102,55.0
Shutter Island,"Mystery,Thriller","In 1954, a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.",2010,8.1,855604,63.0
Star Trek,"Action,Adventure,Sci-Fi",The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,2009,8.0,526324,82.0
Diary of a Wimpy Kid,"Comedy,Family","The adventures of a teenager who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year.",2010,6.2,34184,56.0
The Big Short,"Biography,Comedy,Drama","Four denizens in the world of high-finance predict the credit and housing bubble collapse of the mid-2000s, and decide to take on the big banks for their greed and lack of foresight.",2015,7.8,246360,81.0
Room,Drama,A young boy is raised within the confines of a small shed.,2015,8.2,224132,86.0
Django Unchained,"Drama,Western","With the help of a German bounty hunter , a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",2012,8.4,1039115,81.0
